chrname	position	gene	label
chr10	93008232	ZFYVE26	
chr11	129536055	AP2A2	
chr11	8106345	ARHGAP20	
chr11	18159925	ARHGEF12	
chr11	76979134	ARNTL	
chr11	122559370	C11orf80	
chr11	116345190	CD6	
chr11	23923015	CDON	
chr11	110770350	CELF1	
chr11	37194179	CNTN5	
chr11	122296669	CTSF	
chr11	109594040	DGKZ	
chr11	54172526	DLG2	
chr11	94574955	DNAJC24	
chr11	71383689	EIF3F	
chr11	94775403	ELP4	
chr11	119763502	FERMT3	
chr11	23330234	FEZ1	
chr11	59969068	GAB2	
chr11	21383506	GRAMD1B	
chr11	18619385	GRIK4	
chr11	49216475	GRM5	
chr11	11459363	HTR3B	
chr11	32157661	IGSF9B	
chr11	32376700	JAM3	
chr11	81958497	LDHC	
chr11	110159590	LRP4	
chr11	88170190	LUZP2	
chr11	119412460	MARK2	
chr11	74035127	MRVI1	
chr11	115614228	MS4A6A	
chr11	83418268	NAV2	
chr11	22521527	NRGN	
chr11	30410799	NTM	
chr11	30609950	OPCML	
chr11	121324817	PCNXL3	
chr11	64349473	PGM2L1	
chr11	51842066	PICALM	
chr11	80678727	PIK3C2A	
chr11	23238962	PKNOX2	
chr11	80387426	PLEKHA7	
chr11	49715138	RAB38	
chr11	22425787	SIAE	
chr11	19335971	SORL1	
chr11	77729611	SPON1	
chr11	119740998	STIP1	
chr11	59413042	TENM4	
chr11	119779754	TRPT1	
chr11	108113020	TSPAN18	
chr11	10843705	TTC12	
chr12	53420886	ADAMTS14	
chr12	64249730	ANK3	
chr12	65618082	BICC1	
chr12	20867827	C16orf52	
chr12	16096239	CLEC16A	
chr12	56676313	CTNNA3	
chr12	89805969	CUEDC2	
chr12	32335236	CXCL12	
chr12	55305481	DDX50	
chr12	4504899	DNAJA3	
chr12	115178634	DOCK1	
chr12	10901401	EMP2	
chr12	103882752	GFRA1	
chr12	19664645	GPR139	
chr12	38364782	GRID1	
chr12	10185640	GRIN2A	
chr12	85718969	HPSE2	
chr12	24949321	HS3ST4	
chr12	55149309	KIAA1279	
chr12	28050340	MAZ	
chr12	97767217	MXI1	
chr12	90506295	NT5C2	
chr12	22511666	PALB2	
chr12	88061683	PAX2	
chr12	70051735	PCDH15	
chr12	9215896	PMM2	
chr12	108429564	PPAPDC1A	
chr12	72005207	PRKG1	
chr12	7851095	RBFOX1	
chr12	62125719	RTKN2	
chr12	43807898	SH2D4B	
chr12	14239946	SHISA9	
chr12	14975774	SNX29	
chr12	82421048	SORBS1	
chr12	92665568	SORCS3	
chr12	89970108	SUFU	
chr12	110127713	TACC2	
chr12	83447360	TLL2	
chr12	52864420	UNC5B	
chr12	34748952	VSTM4	
chr12	100201610	VTI1A	
chr12	37506530	WAPAL	
chr12	100062161	ZDHHC6	
chr12	44704407	ZMIZ1	
chr12	61954329	ZNF365	
chr13	96438430	ALPK2	
chr13	18094192	ATP6V1B2	
chr13	11787723	BNIP3L	
chr13	97353704	CCBE1	
chr13	14907828	CHMP7	
chr13	10818767	CHRNA2	
chr13	40078810	CHRNB3	
chr13	10707834	CLU	
chr13	2387614	CSMD1	
chr13	86565330	CTIF	
chr13	91236424	DCC	
chr13	25364282	DLC1	
chr13	45131889	GNAL	
chr13	83843216	HAUS1	
chr13	25503125	KIAA1456	
chr13	28041730	LEPROTL1	
chr13	36221538	LETM2	
chr13	35970091	LSM1	
chr13	96609276	MALT1	
chr13	21261016	MICU3	
chr13	8485110	MSRA	
chr13	96247264	NEDD4L	
chr13	6775082	NEIL2	
chr13	71597148	NOL4	
chr13	20710946	PDGFRL	
chr13	46396995	PIEZO2	
chr13	26623208	PPP1R3B	
chr13	19643552	PSD3	
chr13	10854732	PTK2B	
chr13	24269048	SGCZ	
chr13	93289118	TCF4	
chr13	94768775	WDR7	
chr13	21151545	ZDHHC2	
chr14	33243230	ALMS1	
chr14	46740161	BCL11A	
chr14	1420050	CNNM3	
chr14	26164501	CTNNA2	
chr14	34721912	CYP26B1	
chr14	83367904	EFR3B	
chr14	33850261	EMX1	
chr14	59950812	FBXO11	
chr14	31147873	GCFC2	
chr14	2698988	INPP4A	
chr14	3019876	KIAA1211L	
chr14	1301397	LMAN2L	
chr14	29354208	LRRTM4	
chr14	16659345	MERTK	
chr14	2807457	MGAT4A	
chr14	65364960	MTA3	
chr14	106990595	MYT1L	
chr14	70913921	QPCT	
chr14	13543330	RANBP2	
chr14	80595035	RBKS	
chr14	19740436	RMND5A	
chr14	80755694	SLC4A1AP	
chr14	69245053	SOS1	
chr14	62416421	SRBD1	
chr14	7346239	TMEM182	
chr14	75655265	TTC27	
chr14	49176245	VRK2	
chr15	95999297	ABI3BP	
chr15	77519519	ARHGAP31	
chr15	62297792	ATP2B2	
chr15	30559210	CACNA2D3	
chr15	91205722	CBLB	
chr15	74876001	CD86	
chr15	54786730	CNTN4	
chr15	97131716	COL8A1	
chr15	28124529	DNAH1	
chr15	5764594	DVL3	
chr15	68750638	EEFSEC	
chr15	75420261	FBXO40	
chr15	36000476	FHIT	
chr15	47337181	FOXP1	
chr15	45514372	FRMD4B	
chr15	59271357	GRM7	
chr15	74961599	ILDR1	
chr15	28588325	ITIH3	
chr15	28609726	ITIH4	
chr15	4801164	LAMP3	
chr15	10329516	LPP	
chr15	8865227	MASP1	
chr15	60683742	OXTR	
chr15	18166426	PAK2	
chr15	74431204	PARP15	
chr15	28368871	PBRM1	
chr15	38381990	PTPRG	
chr15	75021525	SLC15A2	
chr15	56279291	SUMF1	
chr15	77383502	TIMMDC1	
chr15	82399874	ZBTB20	
chr16	64534760	ASAP1	
chr16	13882495	CLVS1	
chr16	23555237	EYA1	
chr16	75699858	MAL2	
chr16	39896570	MMP16	
chr16	51052208	NAPRT	
chr16	46861352	NDUFAF6	
chr16	53412509	SLC45A4	
chr16	5113998	ST18	
chr16	79261288	TRPS1	
chr16	95125031	VPS13B	
chr17	23106055	ARHGEF26	
chr17	36072722	CLSTN2	
chr17	63017708	CMTM8	
chr17	68073411	ITGA9	
chr17	69962789	MOBP	
chr17	38166042	MRAS	
chr17	9146564	MYNN	
chr17	3209004	NAALADL2	
chr17	4524856	NLGN1	
chr17	10689266	NLRP11	
chr17	47950035	PLCL2	
chr17	40425368	PPP2R3A	
chr17	40088779	STAG1	
chr17	48279455	TBC1D5	
chr17	68844663	XYLB	
chr17	52180275	ZNF385D	
chr18	1893547	BCL9	
chr18	47304872	CFH	
chr18	3339899	CHRNA3	
chr18	36920379	F5	
chr18	11650175	FCRL3	
chr18	3202812	HYKK	
chr18	8728682	KCNN3	
chr18	38360919	MPC2	
chr18	38514491	MPZL1	
chr18	19320194	PLA2G4A	
chr18	35106386	PRRC2C	
chr18	32470765	RABGAP1L	
chr18	9888086	RIT1	
chr18	23482424	RNASEL	
chr18	40187128	TMCO1	
chr18	8991070	ZBTB7B	
chr19	37210552	AKT3	
chr19	22501036	C1orf106	
chr19	17205443	C1orf95	
chr19	22428330	CAMSAP2	
chr19	1129331	CAPN2	
chr19	40791676	CHRM3	
chr19	26998935	CNTN2	
chr19	18794039	CRB1	
chr19	8170360	ESRRG	
chr19	40420955	FMN2	
chr19	14969178	GALNT2	
chr19	14220661	HHAT	
chr19	31894382	IRF6	
chr19	22589794	KIF21B	
chr19	35291303	KIF26B	
chr19	26529231	LRRN2	
chr19	26902156	NFASC	
chr19	37481449	SDCCAG8	
chr19	34719983	SMYD3	
chr2	73537780	ACSL6	
chr2	61081116	ADAMTS2	
chr2	196425317	ADCY2	
chr2	117168927	ADGRV1	
chr2	151501861	ANKRD55	
chr2	153594041	ARL15	
chr2	129378838	ARSB	
chr2	3636571	AUTS2	
chr2	95601381	CAMK4	
chr2	35184020	CDC25C	
chr2	74250123	CDC42SE2	
chr2	55422682	CHST12	
chr2	64129049	CPLX2	
chr2	192688757	CTNND2	
chr2	9892525	CUX1	
chr2	87328697	DMXL1	
chr2	99776340	EFNA5	
chr2	110915459	ERAP1	
chr2	146593865	ERCC8	
chr2	35403360	ETF1	
chr2	77646685	FBN2	
chr2	187508047	FBXL7	
chr2	98151171	FER	
chr2	73870416	FNIP1	
chr2	52333127	GALNT10	
chr2	51486194	GRIA1	
chr2	157971558	HCN1	
chr2	8607309	HIP1	
chr2	167716309	IL7R	
chr2	69663939	KCNIP1	
chr2	92351849	KCNN2	
chr2	55783477	MAD1L1	
chr2	97274754	MAN2A1	
chr2	136381658	MAP1B	
chr2	112884262	MCTP1	
chr2	78556933	MEGF10	
chr2	186628513	MYO10	
chr2	39131196	NDFIP1	
chr2	61955563	NSD1	
chr2	43887650	PPP2R2B	
chr2	36709670	PSD2	
chr2	94052926	REEP5	
chr2	52412922	SAP30L	
chr2	54670718	SGCD	
chr2	104978353	SLCO6A1	
chr2	83121207	SNX24	
chr2	59458257	SQSTM1	
chr2	126653964	SSBP2	
chr2	68199128	STK10	
chr2	132104868	SV2C	
chr2	29386839	TENM2	
chr2	203262974	TERT	
chr2	55280796	TTYH3	
chr2	9279504	YWHAG	
chr2	11621921	ZCWPW1	
chr2	145949745	ZSWIM6	
chr20	1708525	ABCC12	
chr20	38750867	ATP2C2	
chr20	26937253	CALB2	
chr20	37379891	CDH13	
chr20	10942528	CETP	
chr20	26490797	CFI	
chr20	44185024	FANCA	
chr20	28305578	GLG1	
chr20	40060214	GSE1	
chr20	21954508	NFATC3	
chr20	11028593	NLRC5	
chr20	38465354	TAF1C	
chr20	31867873	VAT1L	
chr20	41808101	ZCCHC14	
chr20	25410568	ZFHX3	
chr21	43588894	B3GALT5	
chr21	8251371	CADM2	
chr21	22942894	CHODL	
chr21	49283676	COL18A1	
chr21	40268215	DOPEY2	
chr21	15993077	ROBO2	
chr21	48349037	TSPEAR	
chr22	766512	ABCA7	
chr22	32021721	ACTN4	
chr22	27113663	ANKRD27	
chr22	1494810	ATP8B3	
chr22	6400901	C3	
chr22	42968610	CD33	
chr22	15904666	CPAMD8	
chr22	41236127	DKKL1	
chr22	26964848	DPY19L3	
chr22	15413513	EPS15L1	
chr22	2217162	GNG7	
chr22	34981024	GRIK5	
chr22	40643135	MAMSTR	
chr22	17243707	MPV17L2	
chr22	37633976	OPA3	
chr22	27846334	PEPD	
chr22	41469184	PRRG2	
chr22	40657991	RASIP1	
chr22	39075523	SAE1	
chr22	34517838	TGFB1	
chr22	6369134	TNFSF14	
chr22	36946307	TOMM40	
chr22	16666027	UNC13A	
chr22	11775450	ZNF490	
chr22	25097879	ZNF536	
chr3	185776064	AFAP1	
chr3	106993410	AFF1	
chr3	115940414	ANXA3	
chr3	91677084	BANK1	
chr3	98743751	BMPR1B	
chr3	84033291	CCDC109B	
chr3	103361793	CCSER1	
chr3	20009615	CLCN3	
chr3	143984406	COX7B2	
chr3	83542163	ELOVL6	
chr3	50604247	INPP4B	
chr3	138869884	KIT	
chr3	149158775	LIMCH1	
chr3	90964245	MANBA	
chr3	107974491	MAPK10	
chr3	124256290	MUC7	
chr3	91061668	NFKB1	
chr3	44531166	NR3C2	
chr3	83960639	PLA2G12A	
chr3	188754927	POLN	
chr3	167342918	PPARGC1A	
chr3	136606763	REST	
chr3	91344964	SLC39A8	
chr3	90613896	SLC9B2	
chr3	185657939	SORCS2	
chr3	183180805	STK32B	
chr3	74820926	SYNPO2	
chr3	164352633	TBC1D19	
chr3	6763231	TENM3	
chr3	25300085	TLL1	
chr3	39201820	TRIM2	
chr3	188570386	ZFYVE28	
chr4	135949514	AHI1	
chr4	143916809	AIG1	
chr4	88712361	ANKRD6	
chr4	35862016	ANKS1A	
chr4	89179161	BACH2	
chr4	49052502	CD2AP	
chr4	32535665	CFB	
chr4	81803500	DOPEY1	
chr4	57960458	DST	
chr4	152872475	ESR1	
chr4	23161770	FARS2	
chr4	95724899	FHL5	
chr4	108183831	FOXO3	
chr4	115855023	FRK	
chr4	169103779	FRMD1	
chr4	54340537	GCM1	
chr4	44135251	GLTSCR1L	
chr4	27139857	GMDS	
chr4	15721518	GMPR	
chr4	104152722	HACE1	
chr4	33640976	HLA-DOB	
chr4	161167572	IGF2R	
chr4	34498340	ITPR3	
chr4	40237661	KCNK5	
chr4	40585398	KIF6	
chr4	130359577	L3MBTL3	
chr4	129593210	LAMA2	
chr4	34605318	LEMD2	
chr4	61667320	LGSN	
chr4	104378040	LIN28B	
chr4	2944760	LRRC16A	
chr4	151773096	MTHFD1L	
chr4	32549198	NELFE	
chr4	124857766	NKAIN2	
chr4	760093	NKAPL	
chr4	32786178	NOTCH4	
chr4	44241341	PEX6	
chr4	15478552	PHACTR1	
chr4	151625452	PLEKHG1	
chr4	32185275	PRRC2A	
chr4	82240686	PRSS35	
chr4	128298754	PTPRK	
chr4	21398269	RREB1	
chr4	32557772	SKIV2L	
chr4	2510599	SLC17A3	
chr4	32447037	SLC44A4	
chr4	82328585	SNAP91	
chr4	46461145	SUPT3H	
chr4	153243202	SYNE1	
chr4	34249135	SYNGAP1	
chr4	18217475	TFAP2A	
chr4	32619431	TNXB	
chr4	30523642	TRIM26	
chr4	686312	ZSCAN31	
chr5	32652563	ARHGAP40	
chr5	91464811	ASIC2	
chr5	86083616	BCAS3	
chr5	106968984	CACNA1G	
chr5	50438751	CASS4	
chr5	9624338	CDC25B	
chr5	115679519	CEP112	
chr5	130469944	CEP131	
chr5	35498489	CHD6	
chr5	57330576	CHRNA4	
chr5	109558969	COPZ2	
chr5	99512761	CUEDC1	
chr5	155365466	DGKH	
chr5	4478567	DNMT3B	
chr5	68607527	ELAC2	
chr5	156581827	ENOX1	
chr5	64104072	EPN2	
chr5	64911742	GID4	
chr5	62587113	ITGAE	
chr5	39249419	KCNS1	
chr5	152840372	LHFP	
chr5	21585089	MACROD2	
chr5	4438081	MAPRE1	
chr5	2001864	MMP24	
chr5	99887193	MSI2	
chr5	142541573	MTUS2	
chr5	148571590	NBEA	
chr5	40127849	NCOA5	
chr5	1329918	PHF20	
chr5	32921640	PPP1R16B	
chr5	2084110	PROCR	
chr5	92172668	RHBDL3	
chr5	31198315	RPN2	
chr5	84652568	RPS6KB1	
chr5	130134504	RPTOR	
chr5	136503054	SGCG	
chr5	61114338	SGSM2	
chr5	70363994	SHISA6	
chr5	109360024	SKAP1	
chr5	61307101	SMG6	
chr5	109763172	SP6	
chr5	59935802	SPECC1	
chr5	61168389	SRR	
chr5	146347506	STARD13	
chr5	114052142	STAT3	
chr5	39152938	STK4	
chr5	41769108	SULF2	
chr5	8233131	TGM6	
chr5	64674867	TOP3A	
chr5	74167373	TP53	
chr5	79608254	WNT3	
chr5	62178202	YWHAE	
chr5	51593533	ZBP1	
chr5	57785430	ZBTB46	
chr6	23635598	ADAMTSL3	
chr6	152308312	AGAP1	
chr6	20970226	AGBL1	
chr6	149323723	C2orf82	
chr6	93659647	CFAP221	
chr6	44056731	CIR1	
chr6	98637342	CNTNAP5	
chr6	22250387	CPEB1	
chr6	141065085	CUL3	
chr6	89718546	DPP10	
chr6	70758537	EPC2	
chr6	127711601	ERBB4	
chr6	16783100	FURIN	
chr6	3178010	GABRG3	
chr6	149238863	GIGYF2	
chr6	149614042	INPP5D	
chr6	31609214	LIMS2	
chr6	16751392	MAN2A2	
chr6	132656638	MARCH4	
chr6	123581546	METTL21A	
chr6	85640682	MGAT5	
chr6	87012494	NCKAP5	
chr6	19299864	NTRK3	
chr6	121086472	PARD3B	
chr6	36291576	PDE1A	
chr6	132437695	PECR	
chr6	113446438	PLCL1	
chr6	157099213	RNPEPL1	
chr6	114647578	SATB2	
chr6	52699274	SCN1A	
chr6	52446289	SCN9A	
chr6	23241074	SH3GL3	
chr6	46727835	SLC25A12	
chr6	146756189	SP140	
chr6	144537035	SPHKAP	
chr6	150324787	TRPM8	
chr6	38854158	ZNF385B	
chr6	33483357	ZNF804A	
chr7	12875053	ACBD7	
chr7	404141	ADARB2	
chr7	70186366	AGO4	
chr7	145382893	ATXN7L2	
chr7	16334750	CACNB2	
chr7	42125011	CAMTA1	
chr7	45235575	CASZ1	
chr7	152662225	CD58	
chr7	9651824	CELF2	
chr7	139242076	COL11A1	
chr7	67929001	CSMD2	
chr7	41065136	DNAJC11	
chr7	85052628	ELAVL4	
chr7	63259976	EPB41	
chr7	128976210	EVI5	
chr7	85539374	FAF1	
chr7	11577396	FRMD4A	
chr7	145478364	GNAI3	
chr7	4558856	IL2RA	
chr7	44887602	KIF1B	
chr7	28910193	KIF5B	
chr7	2605497	KLF6	
chr7	125760767	LRRC8C	
chr7	63429526	MECR	
chr7	81411604	MKNK1	
chr7	25428419	MPP7	
chr7	89491248	MRPL37	
chr7	58074168	MYOM3	
chr7	107517914	NEGR1	
chr7	96642973	NFIA	
chr7	30050915	NRP1	
chr7	63075116	OPRD1	
chr7	101973376	PDE4B	
chr7	36936623	PLCH2	
chr7	78328418	PTPRF	
chr7	42853603	RERE	
chr7	14545232	RSU1	
chr7	65650964	SERINC2	
chr7	88340943	SLC1A7	
chr7	42783454	SLC45A1	
chr7	26701810	SVIL	
chr7	70518235	TRAPPC3	
chr7	150466622	TRIM33	
chr7	151143660	TSPAN2	
chr7	65548641	ZCCHC17	
chr8	60245459	ABCB1	
chr8	13220319	ADCY1	
chr8	74132408	ATXN7L1	
chr8	2098187	BMPER	
chr8	39495672	BZW2	
chr8	49407743	C1GALT1	
chr8	98252492	CNTNAP2	
chr8	26990381	CREB5	
chr8	108599430	DGKI	
chr8	60656099	DMTF1	
chr8	91834560	DPP6	
chr8	22169515	EGFR	
chr8	4993237	ELMO1	
chr8	5790296	EPDR1	
chr8	112480816	EXOC4	
chr8	32817026	FAM126A	
chr8	124021209	FEZF1	
chr8	9634380	GLI3	
chr8	17576586	GRB10	
chr8	61064115	GRM3	
chr8	119380649	GRM8	
chr8	11069962	HECW1	
chr8	79562356	IMMP2L	
chr8	9277922	INHBA	
chr8	69828099	MAGI2	
chr8	85641562	MET	
chr8	114808944	MKLN1	
chr8	7123904	POU6F2	
chr8	71961116	RELN	
chr8	63853442	SEMA3A	
chr8	34437930	SP4	
chr8	73585926	SRPK2	
chr8	106211519	TBXAS1	
chr8	122493050	WASL	
chr9	122197441	ADGRD1	
chr9	46558059	AGAP2	
chr9	91216907	ANO4	
chr9	42438054	ATF7	
chr9	100491425	ATP2A2	
chr9	101681753	ATXN2	
chr9	35101019	BICD1	
chr9	93380244	C12orf42	
chr9	114184352	C12orf65	
chr9	100196896	C12orf76	
chr9	14232693	CACNA1C	
chr9	37573438	CACNB3	
chr9	110289088	CCDC60	
chr9	113236225	CLIP1	
chr9	30601504	CNTN1	
chr9	83735778	CRADD	
chr9	5490347	DERA	
chr9	85157801	FGD6	
chr9	7871740	GRIN2B	
chr9	39010556	LIMA1	
chr9	45982091	LRP1	
chr9	46599341	METTL1	
chr9	122902131	MMP17	
chr9	114107409	MPHOSPH9	
chr9	45880124	NAB2	
chr9	107873478	NOS1	
chr9	93808543	NT5DC3	
chr9	29977276	PDZRN4	
chr9	78813144	POC1B	
chr9	96434810	POLR3B	
chr9	71174221	PPFIA2	
chr9	104380318	RBM19	
chr9	40347549	SLC4A8	
chr9	109068868	SUDS3	
chr9	116585374	TMEM132B	
chr9	120086730	TMEM132D	
chr9	96974752	TMEM263	
chr9	18071490	TNFRSF1A	
chr9	14920305	TSPAN9	
chrX	11607250	EGFL6	
chrX	40370690	HNRNPC	
chrX	140479842	RENBP	
chrY	1874985	SCAPER	
